District,Area in square km,Inhabitants,Female,Male,Germans,Foreigners,Foreigners in percent,Inhabitants per square km,Lat,Lng
Altstadt,0.506,4151,2015,2136,2604,1547,37.3,8204,50.11059,8.6815385
Innenstadt,1.4909999999999999,6605,3088,3517,3514,3091,46.8,4430,50.1128165,8.682204500000001
Bahnhofsviertel,0.542,3561,1378,2183,1638,1923,54.0,6570,50.10781,8.667658
Westend-Süd,2.497,18822,9593,9229,13655,5167,27.5,7538,50.1179505,8.661165
Westend-Nord,1.632,10198,5321,4877,7214,2984,29.3,6249,50.1297765,8.666019
Nordend-West,3.1,30518,15625,14893,23744,6774,22.2,9845,50.1304005,8.685188499999999
Nordend-Ost,1.5319999999999998,23028,11947,11081,17863,5165,22.4,15031,50.127570000000006,8.697659
Ostend,5.564,29171,14980,14191,20802,8369,28.7,5243,50.11622,8.721066
Bornheim,2.786,30533,16110,14423,23214,7319,24.0,10959,50.132859,8.711984
Gutleutviertel,1.7919999999999998,6924,3027,3897,3976,2948,42.6,3864,50.097505,8.645433
Gallus,4.5169999999999995,40250,18866,21384,23563,16687,41.5,8911,50.102318499999996,8.638973
Bockenheim,8.031,40792,20482,20310,27441,13351,32.7,5079,50.122213,8.6307665
Sachsenhausen-Nord,4.235,32484,16626,15858,24402,8082,24.9,7670,50.098492,8.685991999999999
Sachsenhausen-Süd,30.535,28440,14682,13758,21405,7035,24.7,931,50.070682,8.674516
Flughafen,24.176,28440,14682,13758,21405,7035,24.7,931,50.043122,8.5644925
Oberrad,2.708,13517,6725,6792,9083,4434,32.8,4992,50.0989425,8.729378
Niederrad,6.124,25557,12809,12748,16370,9187,35.9,4173,50.086307000000005,8.646270000000001
Schwanheim,14.773,20622,10569,10053,15743,4879,23.7,1396,50.0831345,8.588503500000002
Griesheim,5.1,24028,11121,12907,13994,10034,41.8,4711,50.1020755,8.598409
Rödelheim,4.66,18865,9478,9387,12516,6349,33.7,4048,50.127586,8.6012975
Hausen,1.246,7458,3847,3611,4853,2605,34.9,5986,50.134356,8.626647
Praunheim,5.153,16524,8513,8011,12059,4465,27.0,3207,50.145852,8.614604
Heddernheim,2.5140000000000002,17178,9036,8142,12988,4190,24.4,6833,50.1583695,8.6398905
Niederursel,7.422000000000001,16186,8360,7826,11562,4624,28.6,2181,50.1688555,8.620138
Ginnheim,2.695,16647,8693,7954,12445,4202,25.2,6177,50.145044999999996,8.6473455
Dornbusch,2.384,18569,9840,8729,14427,4142,22.3,7789,50.147225,8.669999
Eschersheim,3.2319999999999998,15225,7886,7339,11932,3293,21.6,4711,50.161007,8.6616915
Eckenheim,2.254,14395,7424,6971,10183,4212,29.3,6386,50.1514215,8.684066000000001
Preungesheim,3.68,15567,7919,7648,11170,4397,28.2,4230,50.153195999999994,8.695506
Bonames,1.3719999999999999,6372,3266,3106,4603,1769,27.8,4644,50.182305,8.6662935
Berkersheim,3.185,3817,1934,1883,3109,708,18.5,1198,50.171233,8.7045475
Riederwald,1.074,4991,2544,2447,3577,1414,28.3,4647,50.126313999999994,8.733813000000001
Seckbach,7.999,10748,5376,5372,7411,3337,31.0,1344,50.145639,8.7262485
Fechenheim,6.984,17546,8344,9202,10011,7535,42.9,2512,50.125856999999996,8.762601
Höchst,4.5969999999999995,15730,7571,8159,9182,6548,41.6,3422,50.0981265,8.540197
Nied,3.708,19780,9739,10041,12411,7369,37.3,5334,50.102845,8.575431
Sindlingen,3.968,9110,4461,4649,6158,2952,32.4,2296,50.0777105,8.51447
Zeilsheim,5.4670000000000005,12489,6188,6301,8753,3736,29.9,2284,50.0975785,8.498628
Unterliederbach,6.021,17020,8463,8557,11535,5485,32.2,2827,50.109265,8.525777999999999
Sossenheim,5.919,16247,8178,8069,10460,5787,35.6,2745,50.121496,8.5749065
Nieder-Erlenbach,8.367,4721,2390,2331,4059,662,14.0,564,50.209456,8.7080415
Kalbach-Riedberg,6.58,20756,10529,10227,15976,4780,23.0,3154,50.1862785,8.638351499999999
Harheim,4.837,4935,2515,2420,4266,669,13.6,1020,50.1857635,8.69107
Nieder-Eschbach,6.348,11453,5905,5548,8803,2650,23.1,1804,50.201825,8.666851000000001
Bergen-Enkheim,12.600999999999999,18074,9300,8774,14473,3601,19.9,1434,50.1580785,8.768149000000001
Frankfurter Berg,2.4,8244,4154,4090,6080,2164,26.2,3435,50.1697025,8.6711375
